<Date>,<Close>,<Target>,<DayOfWeek>,<DayOfMonth>,<IsWeekend>,<IsStartOfWeek>,<PWA>,<PMA>
2009-06-09,1002,1031,1,9,0,0,1002.00,1002.00
2009-06-10,1031,1025,2,10,0,0,1002.00,1002.00
2009-06-13,1025,1026,5,13,1,0,1016.50,1016.50
2009-06-14,1026,1026,6,14,1,0,1019.33,1019.33
2009-06-15,1026,1026,0,15,0,1,1021.00,1021.00
2009-06-16,1026,1028,1,16,0,0,1022.00,1022.00
2009-06-17,1028,1028,2,17,0,0,1022.67,1022.67
2009-06-20,1028,1028,5,20,1,0,1023.43,1023.43
2009-06-21,1028,1028,6,21,1,0,1027.14,1024.00
2009-06-22,1028,1029,0,22,0,1,1026.71,1024.44
2009-06-23,1029,1049,1,23,0,0,1027.14,1024.80
2009-06-24,1049,1033,2,24,0,0,1027.57,1025.18
2009-06-27,1033,1030,5,27,1,0,1030.86,1027.17
2009-06-28,1030,1032,6,28,1,0,1031.86,1027.62
2009-06-29,1032,1033,0,29,0,1,1032.14,1027.79
2009-06-30,1033,1035,1,30,0,0,1032.71,1028.07
2009-07-01,1035,1038,2,1,0,0,1033.43,1028.38
2009-07-04,1038,1039,5,4,1,0,1034.43,1028.76
2009-07-05,1039,1041,6,5,1,0,1035.71,1029.28
2009-07-07,1041,1067,1,7,0,0,1034.29,1029.79
2009-07-11,1067,1070,5,11,1,0,1035.43,1030.35
2009-07-12,1070,1060,6,12,1,0,1040.71,1032.10
2009-07-13,1060,1080,0,13,0,1,1046.14,1033.82
2009-07-14,1080,1100,1,14,0,0,1050.00,1034.96
2009-07-15,1100,1104,2,15,0,0,1056.43,1036.83
2009-07-18,1104,1044,5,18,1,0,1065.29,1039.36
2009-07-26,1044,1003,6,26,1,0,1074.57,1041.85
2009-07-27,1003,1003,0,27,0,1,1075.00,1041.93
2009-07-28,1003,1003,1,28,0,0,1065.86,1040.54
2009-07-29,1003,1001,2,29,0,0,1056.29,1039.24
2009-08-01,1001,1002,5,1,1,0,1048.14,1038.03
2009-08-02,1002,1001,6,2,1,0,1036.86,1038.00
2009-08-03,1001,1001,0,3,0,1,1022.86,1037.03
2009-08-04,1001,990,1,4,0,0,1008.14,1036.23
2009-08-05,990,985,2,5,0,0,1002.00,1035.40
2009-08-08,985,998,5,8,1,0,1000.14,1034.20
2009-08-09,998,970,6,9,1,0,997.57,1032.83
2009-08-10,970,963,0,10,0,1,996.86,1031.83
2009-08-11,963,1000,1,11,0,0,992.43,1029.90
2009-08-12,1000,999,2,12,0,0,986.86,1027.73
2009-08-15,999,994,5,15,1,0,986.71,1026.80
2009-08-16,994,990,6,16,1,0,986.43,1025.80
2009-08-17,990,984,0,17,0,1,987.00,1023.97
2009-08-18,984,978,1,18,0,0,987.71,1022.53
2009-08-19,978,970,2,19,0,0,985.71,1021.00
2009-08-22,970,970,5,22,1,0,986.86,1019.20
2009-08-23,970,966,6,23,1,0,987.86,1017.10
2009-08-24,966,961,0,24,0,1,983.57,1014.93
2009-08-25,961,960,1,25,0,0,978.86,1012.53
2009-08-26,960,999,2,26,0,0,974.14,1009.93
2009-08-29,999,980,5,29,1,0,969.86,1007.23
2009-08-30,980,962,6,30,1,0,972.00,1004.97
2009-08-31,962,978,0,31,0,1,972.29,1001.97
2009-09-01,978,968,1,1,0,0,971.14,998.70
2009-09-02,968,980,2,2,0,0,972.29,995.30
2009-09-05,980,970,5,5,1,0,972.57,990.90
2009-09-06,970,956,6,6,1,0,975.29,986.77
2009-09-07,956,951,0,7,0,1,976.71,984.30
2009-09-08,951,978,1,8,0,0,970.57,982.73
2009-09-09,978,965,2,9,0,0,966.43,981.00
2009-09-13,965,978,6,13,1,0,968.71,980.17
2009-09-14,978,972,0,14,0,1,966.86,978.97
2009-09-15,972,964,1,15,0,0,968.29,978.17
2009-09-16,964,978,2,16,0,0,967.14,977.20
2009-09-19,978,958,5,19,1,0,966.29,975.97
2009-09-21,958,951,0,21,0,1,969.43,975.57
2009-09-22,951,990,1,22,0,0,970.43,974.67
2009-09-23,990,980,2,23,0,0,966.57,973.10
2009-09-26,980,980,5,26,1,0,970.14,973.77
2009-09-27,980,990,6,27,1,0,970.43,974.33
2009-09-28,990,989,0,28,0,1,971.57,973.67
2009-09-29,989,990,1,29,0,0,975.29,973.37
2009-09-30,990,995,2,30,0,0,976.86,973.20
2009-10-03,995,1000,5,3,1,0,981.43,973.20
2009-10-04,1000,999,6,4,1,0,987.71,973.57
2009-10-05,999,1017,0,5,0,1,989.14,974.30
2009-10-06,1017,1038,1,6,0,0,991.86,975.27
2009-10-07,1038,1038,2,7,0,0,997.14,976.83
2009-10-10,1038,1039,5,10,1,0,1004.00,979.23
2009-10-11,1039,1029,6,11,1,0,1011.00,981.80
2009-10-12,1029,1019,0,12,0,1,1018.00,984.43
2009-10-13,1019,1009,1,13,0,0,1022.86,985.43
2009-10-17,1009,1009,5,17,1,0,1025.57,986.73
2009-10-18,1009,1000,6,18,1,0,1027.00,988.30
2009-10-19,1000,1010,0,19,0,1,1025.86,989.33
